gares;heure;ligne;niveau quai;quai
Gare Centrale;05:50;TT-4;quai bas;1
Guebwiller Heissenstein;06:03;TT-5;quai haut;4
Thann Gare;06:09;TT-5;quai bas;2
Gare Centrale;06:13;TT-4;quai haut;3
Guebwiller Heissenstein;06:18;TER Int-Val;quai haut;4
Thann Gare;06:28;TER Int-Val;quai bas;2
Guebwiller Heissenstein;06:33;TT-5;quai haut;4
Gare Centrale;06:43;TT-4;quai haut;3
Gare Centrale;06:49;TT-4;quai bas;1
Guebwiller Heissenstein;06:53;TT-5;quai haut;4
Thann Gare;06:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;07:07;TER Int-Val;quai haut;4
Gare Centrale;07:09;TT-5;quai haut;3
Thann Gare;07:13;TT-4;quai bas;2
Gare Centrale;07:20;TT-4;quai bas;1
Guebwiller Heissenstein;07:23;TT-5;quai haut;4
Thann Gare;07:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;07:37;TER Int-Val;quai haut;4
Gare Centrale;07:40;TT-5;quai haut;3
Thann Gare;07:43;TT-4;quai bas;2
Gare Centrale;07:50;TT-4;quai bas;1
Guebwiller Heissenstein;07:53;TT-5;quai haut;4
Thann Gare;07:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;08:07;TER Int-Val;quai haut;4
Gare Centrale;08:10;TT-5;quai haut;3
Thann Gare;08:13;TT-4;quai bas;2
Gare Centrale;08:20;TT-4;quai bas;1
Guebwiller Heissenstein;08:23;TT-5;quai haut;4
Thann Gare;08:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;08:37;TER Int-Val;quai haut;4
Gare Centrale;08:40;TT-5;quai haut;3
Thann Gare;08:43;TT-4;quai bas;2
Gare Centrale;08:50;TT-4;quai bas;1
Guebwiller Heissenstein;08:53;TT-5;quai haut;4
Thann Gare;08:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;09:07;TER Int-Val;quai haut;4
Gare Centrale;09:10;TT-5;quai haut;3
Thann Gare;09:13;TT-4;quai bas;2
Gare Centrale;09:20;TT-4;quai bas;1
Guebwiller Heissenstein;09:23;TT-5;quai haut;4
Thann Gare;09:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;09:37;TER Int-Val;quai haut;4
Gare Centrale;09:40;TT-5;quai haut;3
Thann Gare;09:43;TT-4;quai bas;2
Gare Centrale;09:50;TT-4;quai bas;1
Guebwiller Heissenstein;09:53;TT-5;quai haut;4
Thann Gare;09:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;10:07;TER Int-Val;quai haut;4
Gare Centrale;10:10;TT-5;quai haut;3
Thann Gare;10:13;TT-4;quai bas;2
Gare Centrale;10:20;TT-4;quai bas;1
Guebwiller Heissenstein;10:23;TT-5;quai haut;4
Thann Gare;10:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;10:37;TER Int-Val;quai haut;4
Gare Centrale;10:40;TT-5;quai haut;3
Thann Gare;10:43;TT-4;quai bas;2
Gare Centrale;10:50;TT-4;quai bas;1
Guebwiller Heissenstein;10:53;TT-5;quai haut;4
Thann Gare;10:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;11:07;TER Int-Val;quai haut;4
Gare Centrale;11:10;TT-5;quai haut;3
Thann Gare;11:13;TT-4;quai bas;2
Gare Centrale;11:20;TT-4;quai bas;1
Guebwiller Heissenstein;11:23;TT-5;quai haut;4
Thann Gare;11:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;11:37;TER Int-Val;quai haut;4
Gare Centrale;11:40;TT-5;quai haut;3
Thann Gare;11:43;TT-4;quai bas;2
Gare Centrale;11:50;TT-4;quai bas;1
Guebwiller Heissenstein;11:53;TT-5;quai haut;4
Thann Gare;11:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;12:07;TER Int-Val;quai haut;4
Gare Centrale;12:10;TT-5;quai haut;3
Thann Gare;12:13;TT-4;quai bas;2
Gare Centrale;12:20;TT-4;quai bas;1
Guebwiller Heissenstein;12:23;TT-5;quai haut;4
Thann Gare;12:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;12:37;TER Int-Val;quai haut;4
Gare Centrale;12:40;TT-5;quai haut;3
Thann Gare;12:43;TT-4;quai bas;2
Gare Centrale;12:50;TT-4;quai bas;1
Guebwiller Heissenstein;12:53;TT-5;quai haut;4
Thann Gare;12:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;13:07;TER Int-Val;quai haut;4
Gare Centrale;13:10;TT-5;quai haut;3
Thann Gare;13:13;TT-4;quai bas;2
Gare Centrale;13:20;TT-4;quai bas;1
Guebwiller Heissenstein;13:23;TT-5;quai haut;4
Thann Gare;13:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;13:37;TER Int-Val;quai haut;4
Gare Centrale;13:40;TT-5;quai haut;3
Thann Gare;13:43;TT-4;quai bas;2
Gare Centrale;13:50;TT-4;quai bas;1
Guebwiller Heissenstein;13:53;TT-5;quai haut;4
Thann Gare;13:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;14:07;TER Int-Val;quai haut;4
Gare Centrale;14:10;TT-5;quai haut;3
Thann Gare;14:13;TT-4;quai bas;2
Gare Centrale;14:20;TT-4;quai bas;1
Guebwiller Heissenstein;14:23;TT-5;quai haut;4
Thann Gare;14:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;14:37;TER Int-Val;quai haut;4
Gare Centrale;14:40;TT-5;quai haut;3
Thann Gare;14:43;TT-4;quai bas;2
Gare Centrale;14:50;TT-4;quai bas;1
Guebwiller Heissenstein;14:53;TT-5;quai haut;4
Thann Gare;14:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;15:07;TER Int-Val;quai haut;4
Gare Centrale;15:10;TT-5;quai haut;3
Thann Gare;15:13;TT-4;quai bas;2
Gare Centrale;15:20;TT-4;quai bas;1
Guebwiller Heissenstein;15:23;TT-5;quai haut;4
Thann Gare;15:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;15:37;TER Int-Val;quai haut;4
Gare Centrale;15:40;TT-5;quai haut;3
Thann Gare;15:43;TT-4;quai bas;2
Gare Centrale;15:50;TT-4;quai bas;1
Guebwiller Heissenstein;15:53;TT-5;quai haut;4
Thann Gare;15:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;16:07;TER Int-Val;quai haut;4
Gare Centrale;16:10;TT-5;quai haut;3
Thann Gare;16:13;TT-4;quai bas;2
Gare Centrale;16:20;TT-4;quai bas;1
Guebwiller Heissenstein;16:23;TT-5;quai haut;4
Thann Gare;16:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;16:37;TER Int-Val;quai haut;4
Gare Centrale;16:40;TT-5;quai haut;3
Thann Gare;16:43;TT-4;quai bas;2
Gare Centrale;16:50;TT-4;quai bas;1
Guebwiller Heissenstein;16:53;TT-5;quai haut;4
Thann Gare;16:56;TER Int-Val;quai bas;2
Guebwiller Heissenstein;17:07;TER Int-Val;quai haut;4
Gare Centrale;17:10;TT-5;quai haut;3
Thann Gare;17:13;TT-4;quai bas;2
Gare Centrale;17:20;TT-4;quai bas;1
Guebwiller Heissenstein;17:23;TT-5;quai haut;4
Thann Gare;17:26;TER Int-Val;quai bas;2
Guebwiller Heissenstein;17:37;TER Int-Val;quai haut;4
Gare Centrale;17:40;TT-5;quai haut;3
Thann Gare;17:43;TT-4;quai bas;2
Gare Centrale;17:50;TT-4;quai bas;1
Guebwiller Heissenstein;17:53;TT-5;quai haut;4
Thann Gare;17:56;TER Int-Val;quai bas;2
